GPS TOW (s),GPS Week,Latitude (deg),Longitude (deg),Ellipsoid Height (m),ECEF X (m),ECEF Y (m),ECEF Z (m),Roll (deg),Pitch (deg),Heading (deg),East Velocity (m/s),North Velocity (m/s),Up Velocity (m/s)
546331,2355,35.164181446,136.88563125,40.144768,-3810545.795873,3567638.549424,3652795.592592,-1.081735,2.575357,350.961339,-0.482,3.288,-0.031
546332,2355,35.164215878,136.885625185,40.140868,-3810543.809833,3567637.446985,3652798.713288,-2.404378,3.081454,352.031645,-0.583,4.323,0.063
546333,2355,35.164259008,136.885618774,40.185935,-3810541.425859,3567636.015099,3652802.650954,-2.846134,2.999285,353.751553,-0.533,5.26,0.042
546334,2355,35.16431074,136.885613351,40.195754,-3810538.681061,3567634.122121,3652807.348624,-2.616407,2.35875,355.010271,-0.477,6.226,-0.035
546335,2355,35.164371017,136.885607779,40.164189,-3810535.503829,3567631.842724,3652812.797394,-2.340287,2.636487,354.837483,-0.56,7.133,0.006
546336,2355,35.164439045,136.885600917,40.158483,-3810531.900069,3567629.325187,3652818.964044,-2.167092,2.494028,354.384028,-0.693,7.952,0.006
546337,2355,35.164513892,136.885591933,40.171477,-3810527.857348,3567626.661317,3652825.759963,-2.231557,2.619618,353.487782,-0.892,8.615,0.026
546338,2355,35.164593918,136.885581147,40.208016,-3810523.474828,3567623.904373,3652833.039129,-2.251136,2.66418,353.198139,-0.993,9.112,0.049
546339,2355,35.164677622,136.885569638,40.240254,-3810518.873193,3567621.032422,3652840.649424,-2.451341,2.750698,353.166783,-1.042,9.433,0.032
546340,2355,35.164763876,136.885558516,40.271942,-3810514.176435,3567618.023075,3652848.490595,-2.165779,2.065044,353.640688,-0.988,9.726,0.018
546341,2355,35.164853382,136.885547593,40.222563,-3810509.291898,3567614.813161,3652856.580131,-1.899336,2.259005,354.234281,-0.948,10.14,-0.079
546342,2355,35.164946727,136.885538822,40.17851,-3810504.365554,3567611.295468,3652865.020788,-1.424846,2.040283,356.239809,-0.641,10.568,-0.066
546343,2355,35.16504378,136.885533304,40.156224,-3810499.481732,3567607.411649,3652873.810339,-1.448359,2.260276,357.57504,-0.379,10.957,0.014
546344,2355,35.165143954,136.885528833,40.180242,-3810494.545197,3567603.347723,3652882.909598,-1.012663,2.265097,357.144096,-0.433,11.269,-0.065
546345,2355,35.16524671,136.885522235,40.194165,-3810489.349694,3567599.306907,3652892.23721,-0.560529,2.062368,355.740828,-0.737,11.55,-0.132
546346,2355,35.1653521,136.885512308,40.184238,-3810483.80982,3567595.359026,3652901.790038,-0.59998,2.287495,354.561464,-0.998,11.831,0.034
546347,2355,35.165459969,136.885500178,40.1905,-3810478.026819,3567591.458474,3652911.576941,-0.741755,2.375682,353.820491,-1.184,12.098,0.03
546348,2355,35.165569857,136.885486459,40.217197,-3810472.062861,3567587.586892,3652921.55868,-0.788073,1.78911,353.294206,-1.317,12.226,-0.058
546349,2355,35.165679435,136.885471551,40.16379,-3810465.99154,3567583.76306,3652931.466216,-0.910416,1.768932,353.219333,-1.316,12.045,-0.07
546350,2355,35.16578771,136.885456789,40.118873,-3810459.995105,3567579.99117,3652941.260471,-0.963772,2.060758,353.237177,-1.315,12.058,-0.032
546351,2355,35.165896904,136.885441979,40.111914,-3810453.975478,3567576.203588,3652951.159843,-1.344057,2.037841,353.201559,-1.336,12.181,-0.039
546352,2355,35.166007348,136.885427193,40.073733,-3810447.880392,3567572.342358,3652961.154598,-1.29338,1.904358,353.124093,-1.366,12.319,-0.12
546353,2355,35.166118622,136.885411632,40.075842,-3810441.722391,3567568.518819,3652971.247886,-1.374054,2.317048,353.00452,-1.411,12.377,0.031
546354,2355,35.166230003,136.885395689,40.085044,-3810435.539764,3567564.72003,3652981.354956,-0.89076,2.361522,352.822595,-1.423,12.333,-0.015
546355,2355,35.16634083,136.885379836,40.081812,-3810429.381155,3567560.93249,3652991.404596,-0.805983,1.552652,352.783057,-1.427,12.254,-0.121
546356,2355,35.166450585,136.885363846,40.041326,-3810423.241831,3567557.180014,3653001.335517,-0.838907,2.166031,352.918107,-1.391,12.052,0.036
546357,2355,35.16655753,136.88534889,40.021823,-3810417.310507,3567553.493247,3653011.023577,-1.332395,1.686521,352.990278,-1.332,11.588,-0.054
546358,2355,35.16665864,136.885334689,39.958561,-3810411.672203,3567549.986559,3653020.157331,-1.466838,2.231294,352.842421,-1.266,10.795,0.027
546359,2355,35.166749355,136.885321339,39.943127,-3810406.600229,3567546.904037,3653028.375852,-1.381912,1.57853,352.752486,-1.018,8.575,0.053
546360,2355,35.166807306,136.885312674,39.925037,-3810403.346746,3567544.939337,3653033.621249,-1.317752,1.464879,352.811978,-0.536,4.701,0.003
546361,2355,35.166836688,136.885308264,39.903939,-3810401.689071,3567543.937636,3653036.273838,-1.202137,1.63191,352.882952,-0.22,1.9,-0.048
546362,2355,35.166846384,136.885307033,39.883714,-3810401.148028,3567543.584712,3653037.141652,-1.312117,1.958127,352.866657,-0.021,0.313,-0.003
546363,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.318572,2.22021,352.870369,0.013,0.007,-0.001
546364,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.322474,2.219504,352.876939,0.011,0.004,-0.006
546365,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.321054,2.218961,352.87941,0.009,0.003,-0.005
546366,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.324315,2.221427,352.877215,0.008,0.004,-0.004
546367,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.324932,2.222561,352.878544,0.005,0.004,-0.004
546368,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.3227,2.22454,352.879908,0.003,0.005,-0.003
546369,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.322339,2.223608,352.884187,0.004,0.003,-0.003
546370,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.318032,2.219149,352.8814,0.004,0.003,-0.003
546371,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.326062,2.220928,352.883396,0.001,0,-0.004
546372,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.320069,2.219977,352.882751,0,0.001,-0.002
546373,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.325326,2.220567,352.883634,0,0.001,-0.002
546374,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.324669,2.21903,352.882915,-0,0.001,-0.001
546375,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.316964,2.221185,352.885163,0,0,-0.002
546376,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.321935,2.219427,352.888162,-0.001,0,-0.001
546377,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.321732,2.218846,352.888449,-0.001,0,0.001
546378,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.325937,2.221732,352.88979,-0,-0.001,-0.003
546379,2355,35.166846667,136.885306853,39.88394,-3810401.123751,3567543.584453,3653037.167449,-1.320128,2.217355,352.888921,-0,-0.001,-0.002
